,Nama Projek,Nama Projek,CUSTOMER,,IMA,ISA,IAS,BDAAS,Report,AI,HARDWARE,SALES,Semester,Waktu kerja sama,Start,Finish,Ket.,ID PMO,Tgl Dibuat,Tgl Last Update,,,,,,,,Task 1,Task 2,capture Doc Permintaan,Doc Pengujian
1,ET-006-01-07-25-CTFK Campaign,ET-006-01-07-25-CTFK Campaign,CTFK Campaign,,,,,1,Progess Laporan,,,Gavin,S2,12,1-Jul-2025,30-Jun-2026,NGO,006,1-Jul-2025,,,,,,,,,Permintaan pembuatan laporan Monthly,Pembuatan Laporan Monthly,Ada,Ada
2,ET-007-01-08-25-PT Astra International,ET-007-01-08-25-PT Astra International,PT Astra International,,,,,1,Progress Laporan,,,Gavin,S2,5,1-Aug-2025,3-Dec-2025,NGO,007,1-Aug-2025,,,,,,,,,Permintaan pembuatan laporan Monthly,Pembuatan Laporan Monthly,Ada,Ada
3,ET-008-01-10-25-Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,ET-008-01-10-25-Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,,,,,,Sewa Server,1,,Indah,S2,12,1-Oct-2025,30-Sep-2026,NGO,008,1-Oct-2025,,,,,,,,,Permintaan pemantauan server Monthly,Pemantauan server Monthly,Ada,Ada
4,ET-001-01-01-26-CTFK Medmon,ET-001-01-01-26-CTFK Medmon,CTFK Medmon,,,,,,Monthly,,,Gavin,S1,12,1-Jan-2026,31-Dec-2026,NGO,001,1-Jan-2026,,,,,,,,,Permintaan pembuatan laporan Monthly,Pembuatan Laporan Monthly,Ada,Ada
5,ET-002-21-01-26-PT Iora Jaya Sakti,ET-002-21-01-26-PT Iora Jaya Sakti,PT Iora Jaya Sakti,,,,,1,Progress Laporan,,,Gavin,S1,5,21-Jan-2026,20-Jun-2026,NGO,002,21-Jan-2026,,,,,,,,,Permintaan pembuatan laporan Monthly,Pembuatan Laporan Monthly,Ada,Ada
6,ET-003-30-06-26-CTFK Campaign,ET-003-30-06-26-CTFK Campaign,CTFK Campaign,,,,,,Progress Laporan,,,Gavin,S1,12,30-Jun-2026,30-Jun-2027,NGO,003,30-Jun-2026,,,,,,,,,Pembuatan Laporan Monthly,Pembuatan Laporan Monthly,Ada,Ada
