,Nama Projek,Nama Projek,CUSTOMER,,IMA,ISA,IAS,BDAAS,Report,AI,HARDWARE,SALES,Semester,Waktu kerja sama,Start,Finish,Ket.,ID PMO,Tgl Dibuat,Tgl Last Update,,,,,,,,Task 1,Task 2,capture Doc Permintaan,Doc Pengujian
7,ET-006-01-07-25-CTFK Campaign,ET-006-01-07-25-CTFK Campaign,CTFK Campaign,,,,,Progress Laporan,Monthly,,,Gavin,S2,12,1-Jul-2025,30-Jun-2026,NGO,,3-Jul-2025,,07,,,,,01,07,Pembuatan Laporan Monthly,,Belum,Belum
8,ET-007-01-08-25-PT Astra International,ET-007-01-08-25-PT Astra International,PT Astra International,,,,,Progress Laporan,Monthly,,,Gavin,S3,5,1-Aug-2025,3-Dec-2025,NGO,,3-Aug-2025,,08,,,,,01,08,Pembuatan Laporan Monthly,,Belum,Belum
9,ET-008-01-10-25-Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,ET-008-01-10-25-Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,Badan Pengawasan Keuangan dan Pembangunan (BPKP) Cloud,,,,,,,Sewa Server,,Indah,S4,12,1-Oct-2025,30-Sep-2026,Kementerian,,3-Oct-2025,,10,,,,,01,10,Pemantauan server Monthly,,Belum,Belum
